State,RegionName,2000q1,2000q2,2000q3,2000q4,2001q1,2001q2,2001q3,2001q4,2002q1,2002q2,2002q3,2002q4,2003q1,2003q2,2003q3,2003q4,2004q1,2004q2,2004q3,2004q4,2005q1,2005q2,2005q3,2005q4,2006q1,2006q2,2006q3,2006q4,2007q1,2007q2,2007q3,2007q4,2008q1,2008q2,2008q3,2008q4,2009q1,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q1,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,Price_Ratio
California,Sacramento,122433.33333333333,126000.0,129466.66666666667,134600.0,141166.66666666666,148933.33333333334,156600.0,162400.0,168433.33333333334,175566.66666666666,184800.0,194800.0,205533.33333333334,216533.33333333334,227833.33333333334,238433.33333333334,249033.33333333334,264033.3333333333,281066.6666666667,298833.3333333333,315833.3333333333,331300.0,343033.3333333333,351266.6666666667,352000.0,347833.3333333333,341833.3333333333,334366.6666666667,325333.3333333333,316400.0,304900.0,290700.0,271566.6666666667,250300.0,233266.66666666666,217366.66666666666,208833.33333333334,199800.0,187900.0,178466.66666666666,176533.33333333334,173866.66666666666,168466.66666666666,163900.0,156366.66666666666,150900.0,147833.33333333334,146933.33333333334,145900.0,146100.0,150066.66666666666,158300.0,167900.0,179933.33333333334,195566.66666666666,205866.66666666666,212633.33333333334,220000.0,225933.33333333334,230900.0,234700.0,241033.33333333334,249033.33333333334,255566.66666666666,263166.6666666667,271133.3333333333,277550.0,1.2527527527527527
Georgia,Atlanta,143566.66666666666,147966.66666666666,151266.66666666666,153933.33333333334,158533.33333333334,162100.0,163200.0,164666.66666666666,165733.33333333334,167100.0,167900.0,169300.0,169666.66666666666,169266.66666666666,169900.0,170666.66666666666,172233.33333333334,175000.0,178100.0,180666.66666666666,183600.0,186966.66666666666,189233.33333333334,191733.33333333334,197066.66666666666,197733.33333333334,196366.66666666666,196133.33333333334,195266.66666666666,194166.66666666666,194100.0,193233.33333333334,187733.33333333334,183066.66666666666,177466.66666666666,170566.66666666666,165200.0,160166.66666666666,157433.33333333334,155733.33333333334,152733.33333333334,149733.33333333334,146966.66666666666,144033.33333333334,139866.66666666666,132933.33333333334,125833.33333333333,119933.33333333333,118000.0,118766.66666666667,119266.66666666667,121100.0,124166.66666666667,128833.33333333333,135866.66666666666,141166.66666666666,145400.0,151700.0,158033.33333333334,162333.33333333334,166866.66666666666,172066.66666666666,175800.0,181400.0,184733.33333333334,189966.66666666666,194100.0,1.1429760665972946
Oklahoma,Tulsa,73866.66666666667,75166.66666666667,76300.0,77166.66666666667,78466.66666666667,79566.66666666667,80433.33333333333,81300.0,81533.33333333333,82033.33333333333,82733.33333333333,82700.0,83766.66666666667,84633.33333333333,85133.33333333333,85400.0,85400.0,85666.66666666667,86133.33333333333,86800.0,87333.33333333333,88566.66666666667,89133.33333333333,89866.66666666667,90666.66666666667,90733.33333333333,90833.33333333333,91466.66666666667,91900.0,91566.66666666667,91800.0,92400.0,91633.33333333333,92433.33333333333,92833.33333333333,92400.0,92100.0,91500.0,91466.66666666667,91700.0,95200.0,96133.33333333333,96300.0,96400.0,95066.66666666667,94566.66666666667,94366.66666666667,94733.33333333333,94300.0,94600.0,94733.33333333333,94133.33333333333,94033.33333333333,94033.33333333333,94766.66666666667,95200.0,94500.0,94700.0,95233.33333333333,95366.66666666667,97033.33333333333,99433.33333333333,101566.66666666667,104033.33333333333,105366.66666666667,106533.33333333333,107500.0,1.010200364298725
Florida,Tampa,79100.0,81433.33333333333,82800.0,84033.33333333333,86100.0,87566.66666666667,89800.0,91800.0,94500.0,97233.33333333333,100633.33333333333,103800.0,107033.33333333333,111866.66666666667,115966.66666666667,120233.33333333333,124733.33333333333,129133.33333333333,135566.66666666666,142500.0,150833.33333333334,160166.66666666666,171100.0,183000.0,193400.0,200500.0,204633.33333333334,205833.33333333334,202833.33333333334,200333.33333333334,194666.66666666666,188866.66666666666,177800.0,165500.0,156400.0,148066.66666666666,142833.33333333334,135300.0,128033.33333333333,123166.66666666667,120300.0,117533.33333333333,113733.33333333333,108166.66666666667,102700.0,98400.0,94400.0,92033.33333333333,93133.33333333333,96066.66666666667,100266.66666666667,103366.66666666667,107366.66666666667,115433.33333333333,122466.66666666667,126766.66666666667,129200.0,130266.66666666667,132700.0,136800.0,139733.33333333334,142800.0,146966.66666666666,152900.0,156500.0,159666.66666666666,162300.0,1.2232076866223207
California,Riverside,137166.66666666666,139666.66666666666,141300.0,144500.0,148533.33333333334,155566.66666666666,161233.33333333334,165400.0,171433.33333333334,177333.33333333334,184766.66666666666,191800.0,199966.66666666666,209200.0,220133.33333333334,239100.0,258433.33333333334,279700.0,303266.6666666667,320566.6666666667,334633.3333333333,351566.6666666667,370633.3333333333,390666.6666666667,408333.3333333333,416266.6666666667,419333.3333333333,417200.0,416200.0,410566.6666666667,395266.6666666667,374800.0,360233.3333333333,343666.6666666667,325500.0,299133.3333333333,264200.0,236466.66666666666,219500.0,210600.0,207566.66666666666,207600.0,203266.66666666666,203000.0,201800.0,199100.0,194433.33333333334,194400.0,196700.0,198200.0,204066.66666666666,210600.0,221800.0,233666.66666666666,247500.0,261366.66666666666,272333.3333333333,281900.0,290033.3333333333,292800.0,294400.0,299766.6666666667,309200.0,313700.0,319166.6666666667,328066.6666666667,334300.0,1.4533408514237385
Kentucky,Lexington,113033.33333333333,115166.66666666667,116366.66666666667,117400.0,118733.33333333333,120166.66666666667,121200.0,120966.66666666667,121666.66666666667,123566.66666666667,125733.33333333333,127033.33333333333,128966.66666666667,127666.66666666667,127433.33333333333,130000.0,131866.66666666666,133333.33333333334,133966.66666666666,136166.66666666666,138000.0,139633.33333333334,141466.66666666666,141766.66666666666,140800.0,141166.66666666666,140966.66666666666,141133.33333333334,140600.0,140000.0,140000.0,140133.33333333334,138700.0,139566.66666666666,141700.0,139633.33333333334,138933.33333333334,139866.66666666666,140733.33333333334,142000.0,143900.0,142600.0,141533.33333333334,141600.0,142833.33333333334,142366.66666666666,139866.66666666666,139466.66666666666,140266.66666666666,141500.0,141100.0,140500.0,141733.33333333334,141666.66666666666,141866.66666666666,141733.33333333334,141300.0,143266.66666666666,147033.33333333334,149100.0,149466.66666666666,148366.66666666666,150033.33333333334,153433.33333333334,154100.0,157500.0,159450.0,0.9978551000953289
New Jersey,Newark,124466.66666666667,127700.0,130433.33333333333,132900.0,135133.33333333334,138233.33333333334,143066.66666666666,146133.33333333334,148000.0,151033.33333333334,156033.33333333334,160766.66666666666,166133.33333333334,173500.0,178833.33333333334,184966.66666666666,194066.66666666666,207000.0,220233.33333333334,231800.0,242966.66666666666,252200.0,263966.6666666667,275700.0,284100.0,293033.3333333333,299000.0,306266.6666666667,311166.6666666667,312766.6666666667,308700.0,307600.0,304400.0,293333.3333333333,281800.0,273733.3333333333,266466.6666666667,257233.33333333334,244166.66666666666,234866.66666666666,229366.66666666666,225333.33333333334,223100.0,212233.33333333334,202700.0,193133.33333333334,187766.66666666666,188000.0,184400.0,179833.33333333334,179900.0,176600.0,174866.66666666666,179900.0,184033.33333333334,177666.66666666666,176000.0,180166.66666666666,188100.0,194100.0,195733.33333333334,196900.0,196300.0,201800.0,210766.66666666666,213333.33333333334,211000.0,1.1403395101723466
Florida,Tallahassee,103100.0,104366.66666666667,105000.0,106433.33333333333,107700.0,108933.33333333333,111200.0,113100.0,115300.0,117366.66666666667,120266.66666666667,123133.33333333333,126066.66666666667,128766.66666666667,131600.0,135466.66666666666,139100.0,143733.33333333334,149500.0,155300.0,161933.33333333334,168100.0,175033.33333333334,181166.66666666666,185733.33333333334,190833.33333333334,192533.33333333334,192966.66666666666,192800.0,191966.66666666666,190333.33333333334,188466.66666666666,184000.0,180566.66666666666,179166.66666666666,175366.66666666666,172366.66666666666,169700.0,167766.66666666666,166500.0,166333.33333333334,162933.33333333334,160133.33333333334,155566.66666666666,151733.33333333334,150166.66666666666,146266.66666666666,142666.66666666666,143933.33333333334,142900.0,142800.0,146333.33333333334,145133.33333333334,148500.0,147100.0,149300.0,150233.33333333334,150066.66666666666,151200.0,152000.0,153900.0,154700.0,156133.33333333334,155666.66666666666,157400.0,158033.33333333334,161050.0,1.0640345708112355
Kentucky,Louisville,79866.66666666667,80833.33333333333,81466.66666666667,82300.0,83566.66666666667,84766.66666666667,85533.33333333333,86133.33333333333,86333.33333333333,87066.66666666667,87733.33333333333,88066.66666666667,88933.33333333333,89133.33333333333,89133.33333333333,90066.66666666667,91466.66666666667,91966.66666666667,92533.33333333333,93300.0,93266.66666666667,93966.66666666667,95033.33333333333,95733.33333333333,95700.0,96400.0,97033.33333333333,97066.66666666667,96900.0,96633.33333333333,96200.0,96733.33333333333,97033.33333333333,98033.33333333333,98433.33333333333,97733.33333333333,97500.0,97033.33333333333,96866.66666666667,97266.66666666667,98500.0,98300.0,98033.33333333333,97500.0,97233.33333333333,96766.66666666667,96833.33333333333,96833.33333333333,95933.33333333333,95566.66666666667,95500.0,95400.0,95000.0,94600.0,95600.0,97533.33333333333,99700.0,101466.66666666667,102200.0,102233.33333333333,102900.0,104700.0,105500.0,107200.0,108966.66666666667,111466.66666666667,113950.0,1.0103057368601855
Texas,Lubbock,,,,,,,,,,,,,,,,,,,,,105500.0,99666.66666666667,101300.0,99033.33333333333,101300.0,103866.66666666667,102433.33333333333,101600.0,103166.66666666667,104133.33333333333,100366.66666666667,97600.0,96000.0,93866.66666666667,93633.33333333333,96500.0,100766.66666666667,104900.0,105800.0,105933.33333333333,100866.66666666667,101566.66666666667,101600.0,100366.66666666667,101200.0,101666.66666666667,104433.33333333333,107433.33333333333,106933.33333333333,101966.66666666667,99400.0,98233.33333333333,98466.66666666667,99566.66666666667,100933.33333333333,101766.66666666667,104100.0,106066.66666666667,106366.66666666667,106600.0,107800.0,109033.33333333333,110333.33333333333,111100.0,113433.33333333333,115566.66666666667,116300.0,0.8948204639339054
